SalesOrderID,SalesOrderDetailID,OrderQty,UnitPriceWithDiscount,UnitPrice,UnitPriceDiscount,LineTotal,ProductID,productName,StandardCost,ListPrice,productCategoryName,CompanyName,ShipMethod,DueDate,shipToAddressCity,sucursal
999992,999992,2,2355,1236,0,0,1,ML Road Frame - W - Yellow 10,36365,591269,NULL,NULL,NULL,01/07/2021 00:00,Durango,Sucursal 2
999993,999993,3,2156,59842,0,0,2,ML Road Frame - W - Yellow 11,51456,16216516,NULL,NULL,NULL,01/07/2021 00:00,Durango,Sucursal 3
999994,999994,4,3156,215452,0,0,3,Rear Brakes,2156,5191,NULL,NULL,NULL,01/07/2021 00:00,Durango,Sucursal 4
999995,999995,5,2156,21523,0,0,4,ML Road Frame - W - Yellow 12,21616,5616519,NULL,NULL,NULL,01/07/2021 00:00,Durango,Sucursal 5
999996,999996,6,2110,22156,0,0,5,ML Road Frame - W - Yellow 13,516196,15619,NULL,NULL,NULL,01/07/2021 00:00,Durango,Sucursal 6
999997,999997,7,232256,22155,0,0,6,ML Road Frame - W - Yellow 14,45191,51984,NULL,NULL,NULL,01/07/2021 00:00,Durango,Sucursal 7
999998,999998,8,2200,2215,0,0,7,ML Road Frame - W - Yellow 15,191949,4789951,NULL,NULL,NULL,01/07/2021 00:00,Durango,Sucursal 8
999999,999999,9,5663,236584,0,0,8,ML Road Frame - W - Yellow 16,19198,121618,NULL,NULL,NULL,01/07/2021 00:00,Durango,Sucursal 9
1000000,1000000,11,2221565,21155,0,0,9,ML Road Frame - W - Yellow 17,1569,8998,NULL,NULL,NULL,01/07/2021 00:00,Durango,Sucursal 10
1000001,1000001,12,22332,21526,0,0,11,ML Road Frame - W - Yellow 18,794841,1,NULL,NULL,NULL,01/07/2021 00:00,Durango,Sucursal 11
